Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Zr,ele Num,Molar volum,Bulk module,dHmix,dSmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Microstructure,FCC,BCC,IM,hv,E (GPa),,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC + Im,0,1,1,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,233,no,,,,
AlCoCrCuFeNi,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,6,7.448333348,151.0000003,-4.78,14.9,1629.70667,5.281130594,0.12,7.83,FCC + BCC,1,1,0,no,no,,,,s
Al7.5CoCrNi,0.714285714,0.095238095,0.095238095,0,0.095238095,0,0,0,0,0,4,9.094285707,103.8095237,-14.27664399,7.584109888,1207.335713,6.003747224,0.11075089,4.523809524,FCC + Im,1,0,1,no,no,,,,
CrMnFeCoNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
(CoCrNi)94Al3Ti3,0.03,0.313333333,0.313333333,0,0.313333333,0,0,0.03,0,0,5,7.039399993,168.5133332,-8.977422222,10.81920964,1864.714098,3.75122024,0.12265523,8.043333333,FCC + Im,1,0,1,no,no,,,,
FeCoNiCr,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC + Im,1,0,1,no,no,,,,
(FeCoNiCr)94Ti2Al4,0.04,0.235,0.235,0.235,0.235,0,0,0.02,0,0,6,7.0941,167.39,-7.3763,13.03936365,1835.6038,3.706237868,0.109201648,7.955,FCC + Im,1,0,1,no,no,,,,
Al0.5CoCrCuFeNi,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,6,7.216363644,157.818182,-1.52,14.7,1693.000911,4.169207859,0.11,8.27,FCC + Im,1,0,1,154,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoMnNi,0,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,3,6.869999993,159.9999998,-5.777777778,9.134370237,1671.666665,3.734682621,0.163095064,8.666666667,FCC,1,0,0,no,no,,,,
CoFeNi,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,3,6.783333327,176.6666665,-1.33,9.13,1768.999998,0.327647103,0.03,9,FCC,1,0,0,no,no,,,,
FeMnNi,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,3,7.009999993,156.6666665,-4.444444444,9.134370237,1685.999998,3.928542708,0.154344492,8.333333333,FCC,1,0,0,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
CoFeMnNi,0,0.25,0,0.25,0.25,0,0.25,0,0,0,4,6.925,162.5,-4,11.53,1706.5,3.551249522,0.14,8.5,FCC,1,0,0,no,no,,,,
CoCrMnNi,0,0.25,0.25,0,0.25,0,0.25,0,0,0,4,6.96,160,-5.5,11.52629192,1798.75,3.446992938,0.150499169,8,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,114,no,,,,
CoCrCuFeNi,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,5,6.938,166,3.2,13.38,1768.954,1.033203661,0.09,8.8,FCC,1,0,0,no,55.6,,,,
Fe36Ni18Mn33Al13,0.13,0,0,0.36,0.18,0,0.33,0,0,0,4,7.4641,143.08,-9.798,10.87153784,1585.6211,5.351956687,0.148163558,7.38,FCC + Im,1,0,1,186.5,,,,,
Fe36Ni18Mn33Al13Ti2,0.12745098,0,0,0.352941176,0.176470588,0,0.323529412,0.019607843,0,0,5,7.52637254,142.4313724,-10.87543253,11.46079052,1592.589312,5.550536259,0.148891199,7.31372549,FCC + Im,1,0,1,279.7,,,,,
Fe36Ni18Mn33Al13Ti4,0.125,0,0,0.346153846,0.173076923,0,0.317307692,0.038461538,0,0,5,7.586249991,141.8076922,-11.8635355,11.80885555,1599.289517,5.723897153,0.149505967,7.25,FCC + Im,1,0,1,374.7,,,,,
Fe36Ni18Mn33Al13Ti6,0.12745098,0,0,0.352941176,0.176470588,0,0.323529412,0.019607843,0,0,5,7.52637254,142.4313724,-12.77002492,12.06471769,1592.589312,5.550536259,0.150019935,7.188679245,FCC + Im,1,0,1,no,no,,,,
Fe30Ni20Mn35Al15,0.15,0,0,0.3,0.2,0,0.35,0,0,0,4,7.5175,140.4,-11.33,11.10051501,1560.5705,5.423557397,0.150847605,7.3,FCC + Im,1,0,1,no,no,,,,
Fe33Ni19Mn34Al14,0.14,0,0,0.33,0.19,0,0.34,0,0,0,4,7.4908,141.74,-10.56,11.00376389,1573.0958,5.393118654,0.149570585,7.34,FCC + Im,1,0,1,no,no,,,,
Fe29Ni19Mn38Al14,0.14,0,0,0.29,0.19,0,0.38,0,0,0,4,7.5012,139.74,-10.9216,10.95397309,1561.4158,5.316103858,0.15132746,7.3,FCC + Im,1,0,1,no,no,,,,
Fe36Ni18Mn33Al13,0.13,0,0,0.36,0.18,0,0.33,0,0,0,4,7.4641,143.08,-9.798,10.87153784,1585.6211,5.351956687,0.148163558,7.38,FCC + Im,1,0,1,no,no,,,,
Fe31Ni18Mn38Al13,0.13,0,0,0.31,0.18,0,0.38,0,0,0,4,7.4771,140.58,-10.222,10.84738881,1571.0211,5.270017825,0.150637446,7.33,FCC + Im,1,0,1,no,no,,,,
Fe33Ni17Mn38Al12,0.12,0,0,0.33,0.17,0,0.38,0,0,0,4,7.453,141.42,-9.5192,10.71904514,1580.6264,5.218919898,0.149931184,7.36,FCC + Im,1,0,1,no,no,,,,
Fe34Ni16Mn39Al11,0.11,0,0,0.34,0.16,0,0.39,0,0,0,4,7.4315,141.76,-8.8868,10.55966527,1587.3117,5.146793324,0.149598262,7.38,FCC + Im,1,0,1,no,no,,,,
Fe36Ni18Mn33Al13,0.13,0,0,0.36,0.18,0,0.33,0,0,0,4,7.4641,143.08,-9.798,10.87153784,1585.6211,5.351956687,0.148163558,7.38,FCC + Im,1,0,1,no,no,,,,
Al0.3CrFe1.5MnNi0.5,0.0625,0,0.208333333,0.3125,0.208333333,0,0.208333333,0,0,0,5,7.25104166,153.7083332,-6.553819444,12.61433915,1754.904373,4.546837191,0.135874227,7.479166667,BCC,0,1,0,370,no,,,,
Al0.3CrFe1.5MnNi0.5Ti0.2,0.066666667,0,0.222222222,0.333333333,0.111111111,0,0.222222222,0.044444444,0,0,6,7.475111103,148.8444443,-7.674074074,13.28429997,1766.164664,5.397076995,0.132053861,7.044444444,BCC,0,1,0,430,no,,,,
Al25Ti25Ni25Cu25,0.25,0,0,0,0.25,0.25,0,0.25,0,0,4,8.585,126.5,-23.25,11.52629192,1490.06,6.924399486,0.166883193,7,FCC,1,0,0,537,108,,,,
Al22.5Ti22.5Ni20Cu20Fe15,0.225,0,0,0.15,0.2,0.2,0,0.225,0,0,5,8.4475,131.35,-19.955,13.29971261,1535.55975,7.168103603,0.157765451,6.975,FCC,1,0,0,516,145,,,,
AlTiNiCuFe,0.2,0,0,0.2,0.2,0.2,0,0.2,0,0,5,8.286,135.2,-17.6,13.38161053,1554.248,7.162214461,0.153544782,7.2,FCC,1,0,0,516,146,,,,
Al0.5CoCrFeNiTi0.5,0.1,0.2,0.2,0.2,0.2,0,0,0.1,0,0,6,7.58,156.6,-15.52,14.53423972,1784.847,6.252018873,0.13163966,7.3,FCC + BCC,1,1,0,520,no,,,,
Al0.8CoCrFeNiTi0.2,0.16,0.2,0.2,0.2,0.2,0,0,0.04,0,0,6,7.5416,154.56,-21.97777778,14.84171088,1724.3952,5.973694144,0.14400463,6.7,FCC + BCC,1,1,0,472,no,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,542,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
Fe40Mn27Ni26Co5Cr2,0,0.05,0.02,0.4,0.26,0,0.27,0,0,0,5,7.012,159.4,-3.4172,10.79468703,1715.81,3.715774934,0.142942331,8.26,FCC,1,0,0,no,no,,,,
Fe50Mn30Co10Cr10,0,0.1,0.1,0.5,0,0,0.3,0,0,0,4,7.14,155,-0.92,9.713640154,1756,3.833181374,0.132075736,7.6,FCC + Im,1,0,1,no,no,,,,
Fe40Mn27Ni26Co5Cr2,0,0.05,0.02,0.4,0.26,0,0.27,0,0,0,5,7.012,159.4,-3.4172,10.79468703,1715.81,3.715774934,0.142942331,8.26,FCC,1,0,0,no,no,,,,
Fe40Mn40Co10Cr10,0,0.1,0.1,0.4,0,0,0.4,0,0,0,4,7.166,150,-0.96,9.923722948,1726.8,4.045008413,0.138289551,7.5,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
Co20Cr20Fe34Mn20Ni6,0,0.2,0.2,0.34,0.06,0,0.2,0,0,0,5,7.056,160.6,-2.5472,12.48219162,1812.82,3.302527895,0.129185758,7.72,FCC + Im,1,0,1,no,no,,,,
Co20Cr20Fe40Mn20,0,0.125,0.125,0.5,0,0,0.25,0,0,0,4,7.12,157.5,-1.76,11.07635214,1778.75,3.624469663,0.124739729,7.6,FCC + Im,1,0,1,no,no,,,,
Al0.3CuCrFeNi2,0.056603774,0,0.188679245,0.188679245,0.377358491,0.188679245,0,0,0,0,5,7.096226416,160.9056604,-7.01,12.26,1714.115283,3.449637987,0.11,8.28,FCC,1,0,0,171,no,,,,
Al0.2Co1.5CrFeNi1.5Ti0.3,0.036363636,0.272727273,0.181818182,0.181818182,0.272727273,0,0,0.054545455,0,0,6,7.164000007,166.9454547,-10.02975207,13.36783889,1818.908002,4.630363443,0.116865961,8.054545455,FCC + Im,1,0,1,no,no,,,,
FeCoNiCrMn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38161053,1801.2,3.269463577,0.138361844,8,FCC,1,0,0,182,no,,,,
Fe19.6Co19.6Ni19.6Cr19.6Mn19.6Al2,0.02,0.196,0.196,0.196,0.196,0,0.196,0,0,0,6,7.04628,160.28,-5.265344,13.92912081,1783.8454,3.702725802,0.138701498,7.9,FCC,1,0,0,185,no,,,,
Fe19.2Co19.2Ni19.2Cr19.2Mn19.2Al4,0.04,0.192,0.192,0.192,0.192,0,0.192,0,0,0,6,7.10656,158.56,-6.322176,14.24271136,1766.4908,4.070146924,0.138970293,7.8,FCC,1,0,0,180,no,,,,
Fe18.6Co18.6Ni18.6Cr18.8Mn18.8Al7,0.069860279,0.185628743,0.18762475,0.185628743,0.185628743,0,0.185628743,0,0,0,6,7.197045914,155.9880242,-7.816464,14.5537692,1741.336229,4.5296744,0.139241494,7.65,FCC + BCC,1,1,0,190,no,,,,
Fe18.4Co18.4Ni18.4Cr18.4Mn18.4Al8,0.08,0.184,0.184,0.184,0.184,0,0.184,0,0,0,6,7.22712,155.12,-8.290304,14.62889906,1731.7816,4.66829647,0.13929684,7.6,FCC + BCC,1,1,0,190,no,,,,
Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9,0.09,0.182,0.182,0.182,0.182,0,0.182,0,0,0,6,7.25726,154.26,-8.752016,14.69270484,1723.1043,4.795875214,0.139334699,7.55,FCC + BCC,1,1,0,220,no,,,,
Fe18Co18Ni18Cr18Mn18Al10,0.1,0.18,0.18,0.18,0.18,0,0.18,0,0,0,6,7.2874,153.4,-9.2016,14.74633953,1714.427,4.916168464,0.139355086,7.5,FCC + BCC,1,1,0,270,no,,,,
Fe17.8Co17.8Ni17.8Cr17.8Mn17.8Al11,0.11,0.178,0.178,0.178,0.178,0,0.178,0,0,0,6,7.31754,152.54,-9.639056,14.790722,1705.7497,5.029727668,0.139358008,7.45,FCC + BCC,1,1,0,400,no,,,,
CoCrCuFeNiTi0.8,0,0.208333333,0.208333333,0.208333333,0.208333333,0,0,0.166666667,0,0,5,7.519166661,162.0833331,-6.75,14.87,1883.291665,6.260021172,0.13,8.14,FCC + Im,1,0,1,no,128.3,,,,
CrFeCoNiCuTi0.5,0,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0.090909091,0,0,6,7.274545462,160.9090911,-3.702479339,14.69798576,1784.594547,4.822178391,0.122359719,8.363636364,FCC + Im,1,0,1,no,98.6,,,,
Cu0.25AlCoCrFeNiTi0.5,0.173913043,0.173913043,0.173913043,0.173913043,0.173913043,0.043478261,0,0.086956522,0,0,7,7.769999986,148.8695649,-15.50094518,15.54594215,1692.245649,6.583863852,0.134073873,7.086956522,BCC,0,1,0,no,"110,46",,,,
Cu0.5AlCoCrFeNiTi0.5,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.083333333,0,0.083333333,0,0,7,7.742500007,148.5000002,-13.41666667,15.85804053,1678.309168,6.457723035,0.134091594,7.25,BCC,0,1,0,no,107.8,,,,
CoCrCuFeNiTi,0,0.2,0.2,0.2,0.2,0,0,0.2,0,0,5,7.644,160,-8.44,14.9,1885.6,6.680561833,0.14,8,FCC + Im,1,0,1,,76.5,,,,
AlCrFeCoNiCu,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,6,7.448333348,151.0000003,-4.777777778,14.8975162,1629.70667,5.281130594,0.119082138,7.833333333,FCC + BCC,1,1,0,no,no,,,,
AlCrFeCoNiCuMn,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,7,7.434285722,146.5714287,-5.632653061,16.17919618,1613.89143,5.182612846,0.140378497,7.714285714,FCC + BCC + Im,1,1,1,no,no,,,,
AlCrFeCoNiCuTi,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,7,7.904285722,145.1428573,-13.79591837,16.17919618,1674.177145,6.777886205,0.142571142,7.285714286,FCC + BCC,1,1,0,no,no,,,,
AlCrFeCoNiCuV,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0.142857143,0,7,7.57285715,152.2857144,-7.755102041,16.17919618,1708.748573,4.954076533,0.124997959,7.428571429,FCC + BCC,1,1,0,no,no,,,,
Co25Ni25Fe25Al7.5Cu17.5,0.075,0.25,0,0.25,0.25,0.175,0,0,0,0,5,7.08175,162.7,0.8225,12.79604395,1634.37,3.874411655,0.07690538,8.9,FCC,1,0,0,129,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
V10Cr10Fe45Co10Ni25,0,0.1,0.1,0.45,0.25,0,0,0,0.1,0,5,7.06,171.5,-5.82,11.61262282,1860.05,1.739286365,0.092714616,8.1,FCC,1,0,0,no,no,,,,
V10Cr10Fe45Co20Ni15,0,0.2,0.1,0.45,0.15,0,0,0,0.1,0,5,7.068,171.5,-5.36,11.85892612,1864.05,1.732527204,0.090138782,8,FCC,1,0,0,no,no,,,,
V10Cr10Fe45Co30Ni5,0,0.3,0.1,0.45,0.05,0,0,0,0.1,0,5,7.076,171.5,-4.9,11.06508518,1868.05,1.724828537,0.087384209,7.9,FCC + BCC,1,1,0,no,no,,,,
V10Cr10Fe45Co35Ni0,0,0.35,0.1,0.45,0,0,0,0,0.1,0,4,7.08,171.5,-4.67,9.87162138,1870.05,1.720623695,0.085934568,7.85,FCC + BCC,1,1,0,no,no,,,,
V10Cr10Fe45Co10Ni25,0,0.1,0.1,0.45,0.25,0,0,0,0.1,0,5,7.06,171.5,-5.82,11.61262282,1860.05,1.739286365,0.092714616,8.1,FCC,1,0,0,no,no,,,,
V10Cr10Fe45Co20Ni15,0,0.2,0.1,0.45,0.15,0,0,0,0.1,0,5,7.068,171.5,-5.36,11.85892612,1864.05,1.732527204,0.090138782,8,FCC,1,0,0,no,no,,,,
V10Cr10Fe45Co30Ni5,0,0.3,0.1,0.45,0.05,0,0,0,0.1,0,5,7.076,171.5,-4.9,11.06508518,1868.05,1.724828537,0.087384209,7.9,FCC + BCC,1,1,0,no,no,,,,
V10Cr10Fe45Co35Ni0,0,0.35,0.1,0.45,0,0,0,0,0.1,0,4,7.08,171.5,-4.67,9.87162138,1870.05,1.720623695,0.085934568,7.85,FCC + BCC,1,1,0,no,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoNi,0,0.5,0,0,0.5,0,0,0,0,0,2,6.63,180,0,5.763145962,1748,0.200240288,0.015,9.5,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
CoCrFeNi,0,0.25,0.25,0.25,0.25,0,0,0,0,0,4,6.895,172.5,-3.75,11.53,1871.75,0.302115885,0.1,8.25,FCC,1,0,0,no,no,,,,
Fe45Cr10V10Co10Ni25,0,0.1,0.1,0.45,0.25,0,0,0,0.1,0,5,7.06,171.5,-5.82,11.61262282,1860.05,1.739286365,0.092714616,8.1,FCC,1,0,0,no,no,,,,
Fe45Cr10V10Co20Ni15,0,0.2,0.1,0.45,0.15,0,0,0,0.1,0,5,7.068,171.5,-5.36,11.85892612,1864.05,1.732527204,0.090138782,8,FCC + BCC + Im,1,1,1,no,no,,,,
Fe45Cr10V10Co30Ni5,0,0.3,0.1,0.45,0.05,0,0,0,0.1,0,5,7.076,171.5,-4.9,11.06508518,1868.05,1.724828537,0.087384209,7.9,FCC + BCC + Im,1,1,1,no,no,,,,
Fe45Cr10V10Co35,0,0.35,0.1,0.45,0,0,0,0,0.1,0,4,7.08,171.5,-4.67,9.87162138,1870.05,1.720623695,0.085934568,7.85,FCC + BCC + Im,1,1,1,no,no,,,,
AlCoCrFeNi2.1,0.163934426,0.163934426,0.163934426,0.163934426,0.344262295,0,0,0,0,0,5,7.349016386,158.0327867,-11.94,12.91,1692.011474,5.380705297,0.12,7.7,FCC + Im,1,0,1,no,no,,,,
Al0.3CoCrFeNi,0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0,0,0,0,0,5,7.111627921,165.7674422,-7.27,12.83,1806.288608,3.757552151,0.11,7.88,FCC,1,0,0,no,no,,,,
Al0.5Cr0.9FeNi2.5V0.2,0.098039216,0,0.176470588,0.196078431,0.490196078,0,0,0,0.039215686,0,5,7.203137249,163.5294116,-10.99730873,11.05609168,1763.987253,4.444703127,0.118924761,8.019607843,FCC,1,0,0,no,no,,,,
Fe36Ni18Mn33Al13,0.13,0,0,0.36,0.18,0,0.33,0,0,0,4,7.4641,143.08,-9.798,10.87153784,1585.6211,5.351956687,0.148163558,7.38,FCC + Im,1,0,1,no,no,,,,
Fe28Ni18Mn33Al21,0.21,0,0,0.28,0.18,0,0.33,0,0,0,4,7.6969,135.56,-13.4844,11.29676653,1515.4187,5.708363976,0.14752071,6.98,FCC + Im,1,0,1,467,no,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
CoCrFeNiTi0.2,0,0.238095238,0.238095238,0.238095238,0.238095238,0,0,0.047619048,0,0,5,7.073333335,169.5238095,-7.346938776,12.56917544,1875.047619,3.65843601,0.111625792,8.047619048,FCC + Im,1,0,1,no,no,,,,
Fe20Co27Ni13Cr20Mn20,0,0.27,0.2,0.2,0.13,0,0.2,0,0,0,5,6.9916,162,-3.768,13.17352896,1804,3.255827217,0.136373714,7.93,FCC,1,0,0,no,no,,,,
Fe20Co23Ni17Cr20Mn20,0,0.23,0.2,0.2,0.17,0,0.2,0,0,0,5,6.9884,162,-3.886419753,13.10421444,1802.4,3.263653192,0.123693618,8.077777778,FCC,1,0,0,no,no,,,,
Ni45(FeCoCr)40(AlTi)15,0.075,0.133333333,0.133333333,0.133333333,0.45,0,0,0.075,0,0,6,7.31216666,162.9499998,-14.63666667,12.91925854,1761.051915,5.631744262,0.12911663,8.091666667,FCC + Im,1,0,1,no,no,,,,
Fe37Mn45Co9Cr9,0,0.09,0.09,0.37,0,0,0.45,0,0,0,4,7.1818,147.5,-0.882,9.650030892,1708.94,4.092070055,0.1392543,7.46,FCC,1,0,0,no,no,,,,
Fe34Cr34Ni14Al14Co4,0.14,0.04,0.34,0.34,0.14,0,0,0,0,0,5,7.4582,155.24,-7.5744,12.62984004,1800.2658,5.098314645,0.103058187,7.65,BCC + Im,0,1,1,no,no,,,,
Al0.3CoCrFeNi,0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0,0,0,0,0,5,7.111627921,165.7674422,-7.27,12.83,1806.288608,3.757552151,0.11,7.88,FCC + Im,1,0,1,no,no,,,,
Fe36Co21Cr18Ni15Al10,0.1,0.21,0.18,0.36,0.15,0,0,0,0,0,5,7.243,162.4,-7.5744,12.62984004,1768.187,4.429915505,0.103058187,7.65,FCC + Im,1,0,1,420,no,,,,
AlCoFeNi,0.25,0.25,0,0.25,0.25,0,0,0,0,0,4,7.5875,151.5,-13.75,11.52629192,1560.1175,6.237363717,0.117553179,7.5,BCC,0,1,0,450,no,,,,
Ni1.5Co1.5CrFeTi0.5,0,0.272727273,0.181818182,0.181818182,0.272727273,0,0,0.090909091,0,0,5,7.187272734,168.1818184,-10.74380165,12.85913616,1855.545456,4.88503595,0.121865662,8.090909091,BCC,0,1,0,442,209,,,,
CoCrNi,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,3,6.829999993,173.3333332,-4.89,9.13,1891.999998,0.164559904,0.11,8.33,FCC,1,0,0,160,,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC,1,0,0,no,no,,,,
Cr2MnFeNi,0,0,0.4,0.2,0.2,0,0.2,0,0,0,4,7.098,158,-3.52,11.07635214,1883.6,3.283574153,0.129830659,7.4,FCC + BCC,1,1,0,341,no,,,,
Cr1.75Cu0.25MnFeNi,0,0,0.35,0.2,0.2,0.05,0.2,0,0,0,5,7.092,157,-1.6,12.32940863,1842.4885,3.268190907,0.134551106,7.65,FCC + BCC,1,1,0,360,no,,,,
Cr1.5Cu0.5MnFeNi,0,0,0.3,0.2,0.2,0.1,0.2,0,0,0,5,7.086,156,0.08,12.94655784,1801.377,3.248790727,0.138072445,7.9,FCC + BCC,1,1,0,313,no,,,,
Cr1.25Cu0.75MnFeNi,0,0,0.25,0.2,0.2,0.15,0.2,0,0,0,5,7.08,155,1.52,13.27656913,1760.2655,3.225328437,0.140484875,8.15,FCC + BCC,1,1,0,308,no,,,,
CrCuFeMnNi,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,5,7.074,154,2.72,13.38,1719.154,3.197741982,0.14,8.4,FCC + BCC,1,1,0,269,no,,,,
CrCoCuFeNi,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,5,6.938,166,3.2,13.38161053,1768.954,1.033203661,0.092217135,8.8,FCC,1,0,0,no,no,,,,
CrCuFeMnNi,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,5,7.074,154,2.72,13.38,1719.154,3.197741982,0.14,8.4,FCC + Im,1,0,1,no,no,,,,
CoCrCuFeMn,0,0.2,0.2,0.2,0,0.2,0.2,0,0,0,5,7.09,154,4.16,13.38161053,1727.154,3.14703294,0.136323146,8.2,FCC + BCC,1,1,0,no,no,,,,
AlCoCrFeNiTi0.5,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.090909091,0,0,6,7.800000008,149.2727274,-17.92,14.7,1707.449093,6.717619519,0.13,6.91,BCC,0,1,0,no,177.74,,,,
AlCoCrFeNi,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,5,7.516,153.2,-12.32,13.38,1684.094,5.777889559,0.12,7.2,BCC,0,1,0,no,no,,,,
Al10Co25Cr8Fe15Ni36Ti6,0.1,0.25,0.08,0.15,0.36,0,0,0.06,0,0,6,7.3202,162.3,-13.9748,13.30361728,1719.937,5.655462385,0.122434105,8.07,FCC + Im,1,0,1,no,no,,,,
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0,0.2,0,0,0,5,6.986,162,-4.16,13.38,1801.2,3.269463577,0.14,8,FCC + Im,1,0,1,no,no,,,,
Fe37.5Ni37.5Cr15Mn10,0,0,0.15,0.375,0.375,0,0.1,0,0,0,4,6.9495,167.25,-4.005,10.39680622,1806.025,2.534584435,0.118417693,8.35,BCC,0,1,0,no,no,,,,
Fe33.5Ni33.5Cr15Mn10Al5Ti3,0.05,0,0.15,0.335,0.335,0,0.1,0.03,0,0,6,7.2215,160.35,-11.27873016,12.94078723,1769.3685,4.719582723,0.132894994,7.666666667,BCC + Im,0,1,1,no,no,,,,
Fe33.5Ni33.5Cr15Mn10Al4Ti4,0.04,0,0.15,0.335,0.335,0,0.1,0.04,0,0,6,7.2279,160.69,-9.7426,12.51380718,1779.4438,4.78716918,0.131911296,7.91,BCC + Im,0,1,1,no,no,,,,
Fe33.5Ni33.5Cr15Mn10Al3Ti5,0.03,0,0.15,0.335,0.335,0,0.1,0.05,0,0,6,7.2343,161.03,-10.0974,12.4927989,1789.5191,4.853637233,0.13300812,7.92,BCC + Im,0,1,1,no,no,,,,
Fe40Mn40Co10Cr10,0,0.1,0.1,0.4,0,0,0.4,0,0,0,4,7.166,150,-0.96,9.923722948,1726.8,4.045008413,0.138289551,7.5,FCC,1,0,0,no,no,,,,
Fe40Mn40Co10Cr10,0,0.1,0.1,0.4,0,0,0.4,0,0,0,4,7.166,150,-0.96,9.923722948,1726.8,4.045008413,0.138289551,7.5,FCC,1,0,0,no,no,,,,
Fe40Mn40Co10Cr10,0,0.1,0.1,0.4,0,0,0.4,0,0,0,4,7.166,150,-0.96,9.923722948,1726.8,4.045008413,0.138289551,7.5,FCC,1,0,0,no,no,,,,
AlCoCrCuMnTi,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0.142857143,0,0,7,8.012857151,136.5714287,-12.88888889,14.8975162,1644.320002,6.471766967,0.146969385,6.666666667,FCC + BCC + Im,1,1,1,555,no,,,,
